Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Shank_v2.0 Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\victo\Documents\Altium\Projects\Shank v2.0\Shank_v2.0 Project.PrjPcb|ReportField=Title~Bill of Materials For Project [Shank_v2.0 Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~78|ReportField=ReportTime~18:22:22|ReportField=ReportDate~01/05/2017|ReportField=ReportDateTime~01/05/2017 18:22:22|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Shank_v2.0 Project.PrjPcb|ReportField=DataSourceFullPath~C:\Users\victo\Documents\Altium\Projects\Shank v2.0\Shank_v2.0 Project.PrjPcb
Thick Film|Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 205k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805|IR1, IR2, IR3, IR4, IR5, IR6, R1r, R2r, R3.3, R3r, RL1, RL2, Rrst, Rscl, Rsda|RESC2012N_ZERO|RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_205K_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%|15
Thick Film|Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 2.2k Ohm 0.125W 1% 0805, Resistor SMD chip 1.5k Ohm 0.125W 1% 0805, Resistor SMD chip 1.5k Ohm 0.125W 1% 0805|IR11, IR22, IR33, IR44, IR55, IR66, RS1, RS2|RESC2012X70N|RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_2K2_0805_1%, RES_1K5_0805_1%, RES_1K5_0805_1%|8
Red|LED 0805 SMD Red 6mcd 621nm|L1, L2, LED ON|LED-0805-K|LED_SMD_Red_0805_6mcd|3
Header 2|Header, 2-Pin|M1, M2, P2, P3|HDR1X2|Header 2|4
TM4C123GH6PMT7R|Imported|MICRO|LQFP50P1200X1200X160-64|TM4C123GH6PMT7R|1
Header 3|Header, 3-Pin|OFF ON|SW ON-ON|Header 3|1
Reg3|Imported|REG3|DGK0008A_N|TPS62160DGKR|1
TS-1143S-WP|Switch SMD Tact 4.3mm Stem|RESET, SW1, SW2|Switche|SW_SMD_PB_4.3mm|3
SC|Header, 2-Pin|TX  RX|HDR1X2|Header 2|1
ULN2003||ULN|TSSOP65P640X120-16N|Component_1|1
Encoder 2|Header, 6-Pin|V A B G|Header Encoder|MHDR1X6|1
Header 4X2|Header, 4-Pin, Dual row|WIFI|HDR2X4|Header 4X2|1
Xtal||X1|16Mhz|Component_1|1
